,RestaurantName
249,Om Sai Snacks Centre
250,Vardayini Pure Veg
251,Hotel shivprasad
252,LOCKDOWN CAFE AND BISTRO
253,Om Sai Chinese and Rolls
254,Indore Katta
255,Foodaholic
256,Best of South Pure Veg
257,Baskin Robbins
258,SAMARTH FOODS
259,Cafe Om Sai Pure Veg
260,Homely Meals @69
261,ASWAD RESTAURANT
262,Faasos
263,Sabji-Chapati
264,Red Dragon Rolls and Chinese
265,VIRAJ CHINESE
266,ZAZA 22 Spice Biryani
267,Tarif Biryani House
268,Deewan-E-Biryani Bavdhan
269,IRANI CHAI CAFE
270,Thorats Barbeque Misal
271,Jijai Coffee House
272,Cafe SD
273,The Biryani Life
274,Hungraze
275,Hotel Aarya
276,M.D.C BIRYANI
277,Angaar
278,24Foodies.in
279,Cafe Peter
280,24Munchies.in
281,AADD M AADD B
282,The Bar Tales
283,Eatsome
284,"Laddish Cafe Food, Music & Liquid Station"
285,Sweet Truth - Cake and Desserts
286,italian hut
287,Jagdamb Chinese Center
288,JACKSON RESTO BAR
289,Momo Brothers
290,Behrouz Biryani
291,CAFE CORONA GO
292,Om Sai Expresso Veg & Non Veg
293,Anda-Mental
294,Anoo's Delights
295,The Mint Leaf Resto Lounge
296,Gupte's Food Delight
297,Cafe Paratha Plus
298,I'm Lion
299,A1 Chinese and Biryani Corner
300,Kulkarni's Kitchen
301,Cafe Aarya
302,Kolhapur Inn
303,Chaila Tandoor Chai
304,Prarthana foods & services
305,Om Sai Mastani House
306,Cafe Coffee Day
307,La Bali
308,RushHrs
309,DESI HANDI
310,Goodluck Cafe Bavdhan
311,The Pizza Box
312,Masemari - The Fishing
313,Chinjabi
314,Noor Snacks
315,Rolls Mania
316,Crazy Momos
317,Spice Roots
318,Smoking Hot Cafe
319,Maddy's Chinese
320,Uncle's Chinese
321,CAKES & BALLOONS
322,NH1 Bowls - Highway To North
323,Aromas kitchen
324,Food Of Indore
325,Frangipani - Ambrosia Resort and Spa
326,Darjeeling Dragon
327,PUNA DARBAR
328,Krushna Pure Veg Family Restaurant
329,RAKESH SWEET CORNER
330,KNS Xprs
331,Laxmi Bhel And Snacks Center
332,The misal only
333,Winni cakes and more
334,Hotel Spine Woods
335,THE MAGIC BOTTLE
336,Durga Nashta House
337,AL ZAIKA
338,Pure Veg Meals by Lunchbox
339,ONKAR SMOKY CHICKEN BIRYANI
340,Raw Cube
341,Biryani Ride Dighi
342,HRIDAY FINE DINE
343,ROYALISTO RESTAURANT
344,KPs Chinese Restro
345,Hotel Sonali
346,K K Family Restaurant
347,N P PIZZA
348,Mandarin Oak- The Heavenly Chinese
349,HOTEL PRATHMESH
350,Moshi Grrand
351,SAMRUDDHI CHINESE FAMILY RESTAURENT
352,ARUS KITCHEN
353,Palkhi Restaurant
354,Oven Story Pizza
355,Tiranga Family Restaurant
356,KDS
357,Indrayani River Misal
358,Hotel Janjira
359,CAKE & TAILS
360,DOSA WORLD
361,Mad Over Donuts
362,Apulki Family Restaurant
363,Caramella's
364,The Good Bowl
365,Hotel Shree Yash
366,Hotel Pragati
367,Balefire Kebab
368,Impress Cake shop
369,7 Spice Biryani House
370,Baba'j Xprs
371,Momo Kings Sandwich And Pizza
372,Hotel Kaajawa Garden Restaurant
373,Masala Punjab
374,Baskin Robbins
375,Ramdev Dhaba Pure Veg
376,MAYUR RESTAURENT AND BAR
377,Chinese Kitchen
378,84 East Family Restaurant & Bar
379,Food Of Indians (FOI)
380,New Ashoka Pure Veg
381,Biryanikar
382,SLICE OF ITALY
383,Sasarwadi Mutton Khanawal
384,HERITAGE  -  THE ROYAL DINING
385,Red Orchid's China Bistro
386,KINGDOM TANDOORI KEBAB & BIRYANI
387,Vrindavan Restaurant
388,THE MIRCHI RESTAURANT
389,Spring Potato
390,MOMO PRO
391,Andhra Gunpowder
392,Athiti Pure Veg
393,ARAMBHA VEG NON VEG
394,JUST MEAT
395,Behrouz Biryani
396,Aangan Kitchen Of Veg
397,Biryani Trip
398,Pang's
399,Cakelets Cake N Cafe
400,Dosti Mutton Khanawal
401,Hotel Vaishnavi
402,Farmers Kitchen
403,Sweet Truth - Cake and Desserts
404,Frendz - Meet Your New Frendz
405,HOTEL MAITRI DARBAR
406,AASWAD PURE VEG RESTAURANT
407,HOTEL DAJIBA MUTTON KHANAWA
408,Domino's Pizza
409,UPVAS SPECIAL
410,SLAY Coffee
411,Gokul Pure Veg
412,Hungry Hub Pune Caterers
413,Barista
414,Pushkaraj Garden
415,TRIMURTI FOODS AND BEVERAGES
416,Mother's tawa
417,Authentic Seafood
418,Subway
419,ESEVEN RESTAURANT
420,Bhairavi Hydrabadi Biryani
421,Riya Corner
422,Akshay Court
423,SRS Multi Cuisine Restaurant
424,Hotel Dattaprasad
425,Garva Biryani
426,Royal Punjab Restaurant & Bar
427,Sublime Bistro
428,Rajeshahi Biryani
429,NIC Natural Ice Creams
430,Kukkdu Ku Biryani House
431,TASTE OF BIRYANI
432,OVERDOSE RESTAURANT AND LOUNGE
433,BIKANER SWEETS BHARATI
434,Kraks N Bruns
435,New Arabian Grills
436,Crazy Cheesy
437,Arabian Hot N Spicy
438,Hotel navnath
439,AMRUT PURE VEG
440,Master Shiffu
441,ISHWARI'S KITCHEN
442,Chinese King - Brahmas Food Corner
443,Tiranga - Satara Road
444,The Good Bowl
445,Urban meals
446,Toss Pizzeria
447,Kaveri
448,Vedant Pure Veg
449,Jai Ganesh Chaat
450,Atithi Restaurant
451,Domino's Pizza
452,SimplyOrange.in
453,The Burger Park
454,BBQ ME N U
455,Royal special biryani House
456,KuchBhi KITCHEN
457,Dakhkhan Delicacies
458,Aarya's Biryani Hub
459,Jayashree Misal
460,RK Biryani House
461,Dwarka
462,Biryani B-Box
463,Chitale Bandhu Mithaiwale
464,BK Submarine
465,PLATINUM ENTERPRISES
466,Vishwakamal
467,NH1 Bowls - Highway To North
468,Itminaan Biryani - Dum Pukht
469,DARSHINI VEG
470,The Basil Deck
471,Mad Over Donuts
472,The Queen's Plate
473,Kolhapuri Katta
474,The Lunch Box
475,Sweet Truth
476,Padmavati Chinese corner
477,LeanCrust Pizza - ThinCrust Experts
478,Purandar veg non-veg
479,Behrouz Biryani
480,HOTEL VILLAGE
481,Oven Story Pizza
482,Mandarin Oak- The Heavenly Chinese
483,Gupta Wadewale
484,RK Chinese House
485,Hotel Utsav Deluxe
486,THE CHINESE WINDOW
487,PARMAR BHEL PANIPURI CENTER
488,DevUncle Kitchen
489,Honey Restaurant
490,SAINATH VEG
491,VENKY'S CHICKEN XPERIENCE
492,RAJMUDRA SP FISH HOTEL
493,Couch & Cheese
494,Winner Pizzas (Fresh Dough)
495,Mahabaleshwar Berry Bash
496,KGN Xprs
497,Hotel mawalaj
498,PUNE ADDA
499,Purnabramha
500,Baasuri
501,Pizza Hut
502,Hotel Shree Morya Latur Special
503,HOTEL SHEETAL
504,bhukkad ka nukkad
505,McDonald's Gourmet Burger Collection
506,Spice Garden Family Resto & Bar
507,Roll Point
508,Anjali Foods
509,Mr A cakes and bakers
510,Bhujbal Bandhu Hotel Apulki
511,Morya Snacks Center
512,Starboy Pizza & Shakes
513,ZAZA 22 Spice Biryani
514,Tutto Bene
515,Sai Hotel
516,Metro Chinese
517,Meghdoot's
518,Rajveer Pure Veg
519,Pind Daa Swad Paratha House
520,MR. SARKAR CAFE
521,Yenna Dosa
522,Saru'j Shetkari Hotel
523,Nimantran Restaurant & Bar
524,Grameen Kulfi
525,Cake Story
526,Narsobawadi Dairy And Organic
527,SWS Veg Pizzaria
528,McDonald's
529,Ktree Family Restaurant
530,Spice Stories
531,sammich
532,NH1 Bowls - Highway To North
533,Itminaan Biryani - Dum Pukht
534,RK Foods
535,Shivshambhu Tiffin
536,MASOLI FAMILY RESTAURANTS
537,FLIRTY MOMO
538,Punjabi Tadka Aur Tandoor
539,Dalchini Veg & Non Veg
540,Hyderabad Biryaani House
541,Rubaab Multicuisine family restaurant and bar
542,Gatha pure veg
543,SPICE OF PUNJAB
544,Biriyani House
545,Domino's Pizza
546,Zippy Feed
547,Grameen Kulfi
548,SKY FOOD QSR
549,Chinese Chaska
550,Brunch Biryani
551,Supalkar Biryani House
552,SHUBHAM CHINESE AND SNACKS CENTER
553,Roll Time
554,Food Court
555,Singh Ching
556,Chinaar Pure Veg
557,Rauts Barfi
558,Authentic Royal
559,ATITHI VEG
560,Lucky Caterers And Biryani House
561,HOTEL ANNA MADRASE
562,Kekiz The Cake Shop
563,McDonald's
564,Ali Baba Hotel
565,CHOUDHARY CATERERS
566,Hotel Yashraj Family Restaurant And Bar
567,Rudra Restaurant
568,Special Dum Biryani House & Saisha Snacks Center
569,Yash Veg and Nonveg Hotel
570,Big Bang Community
571,Kisa Veg Corner
572,Shree Kulfi and Icecream
573,Hotel Maratheshahi
574,Momo Monk
575,Aditya Ice cream Parlor
576,Purepur Kolhapur Family Restaurant
577,Sk fast food /pure veg Chinese
578,Gharcha Swad Seafood Special
579,Agent Momo
580,Dakaar
581,Hotel Red Chilly
582,Vaishnavi Food And Snacks Center
583,China Town Pure Veg
584,Bismillah Restaurant
585,Slurpy Shakes
586,Chopsticks Chinese
587,JAGDAMB VEG
588,SOYA SINGH
589,Samruddhi Fast Food
590,Vintage Kitchen
591,P AND K CAFE
592,Hotel Amba
593,McDonald's Gourmet Burger Collection
594,Hotel Samrat
595,Mezbaan Family Restaurant
596,Jugaadi Katta
597,Ganesh food cort
598,Hotel Avani Biryani
599,Hangyo Ice creams
600,Sundae Everyday Ice Creams
601,Momos King
602,HELTHY FOR ME
603,Reddys Restaurant
604,Madina Biryani House
605,Annapurna Khanaval
606,Hotel Nandini
607,Grand 11 Restaurant and Loungh
608,Samrudhi Restaurant
609,kaka ka khana
610,Biryani Trip
611,ROLL DELIGHTS
612,Paratha Envy
613,Hotel Jai Mahlar
614,Shahi Biryani
615,Sampan Royal Fast Food
616,Renuka's Kitchen
617,Soups Sezwans & Noodles
618,NEW CAKE AND CAFE
619,HOTEL MALINI
620,Shivsai home mede
621,MADHUBAN  SNACKS  AND  TEA  POINT
622,Swagat food
623,Foodginie Express
624,Hotel Tanishka
625,Indra Pure Veg
626,Andhra Gunpowder
627,Azad Combo Offers
628,The Fort Bar & Kitchen
629,Jai Ambika
630,Areneshwar food
631,Khichdi Special
632,Kokkita
633,Fusion Foodies Delicious Punjabi Darbar
634,Udta Punjab
635,Sai hotel
636,Mainland China
637,Ashus Kitchen
638,AK BIRYANIWALA
639,ROYAL KITCHEN
640,Apsara Ice Creams
641,Grand Punjab
642,KRISHNA FASTFOOD AND CHINESE
643,FOODS PRIDE KITCHEN HYDRABADI  BIRYANI
644,VAISHALI PURE VEG
645,Angoor Family Restaurant
646,Combo's N Thali's
647,Hotel New Maharashtra
648,The Maratha darbar
649,Red Chilli Chinese
650,Lavangi Mirchi
651,Tastebuds pizza
652,Desi Paratha Junction
653,Asia Kitchen by Mainland China
654,Madhav Wine And Dine Family Rest-O- Bar
655,ENGLAND THICKSHAKE COMPANY
656,NIC Natural Ice Creams
657,Rohit food
658,MORYA MISAL
659,Punjab Kitchen
660,Pirajee's Cake
661,PAPACREAM
662,Swad Fish House
663,Mengus The Fisher men Special
664,Cheesy Paradise
665,WarmOven Cake & Desserts
666,LeanCrust Pizza - ThinCrust Experts
667,Utsavv
668,Mangesh Restaurant & Bar
