,RestaurantName
1051,Fat Cat's Cafe
1052,Go Rigo Go
1053,Jaffer Bhai's Delhi Darbar Restaurant
1054,The Fat and the Sexy Chef
1055,Seven Eleven cafe & Restarant
1056,Biryani By Kilo
1057,EXECUTIVE MEALS
1058,Madinah
1059,The Good Bowl
1060,Theobroma
1061,KANNU KI CHAI
1062,Hungry punjabi
1063,Subway
1064,KFC
1065,Crossbar By MJ Cafe
1066,Salad Box
1067,The Doner Company
1068,Bagban's Chef
1069,PUNJABI DHABA
1070,Domino's Pizza
1071,The Rollin Dough
1072,MEAL BOX
1073,Jashn
1074,Sampan food and foods
1075,CHIPPA
1076,Mountain High
1077,Backer's Bake
1078,Pizza Hut
1079,Largo Pizzeria
1080,ASIAN EATERY
1081,The Cake Layer
1082,Papa Wraps Shawarma Roll Factory
1083,Delhi Paratha Darbar
1084,Kimling
1085,Maggie In a Bowl
1086,Manna Foods
1087,Crazy Cheesy ( Sakunke)
1088,Pizzarella
1089,Burgerella
1090,Sujata Mastani
1091,Bamsi Kitchen
1092,Alhamdulliah restaurant
1093,Super smash burgers
1094,Bamyan
1095,GARRISON KITCHEN
1096,Krushna Pure Veg
1097,PIZZARONEE
1098,Mothers Canteen
1099,Mughal Rasoi
1100,Mughal's Restaurant
1101,Kwality Family Resto Bar
1102,NutriHunger
1103,Bowls@69
1104,Aditya Kitchen
1105,Tulja Bhavani Bhojanalay And Snacks
1106,Natural Ice Cream
1107,House Of Gains
1108,CAFE AL MUHSI
1109,Sweet Truth
1110,Kaka wadewale
1111,BIRYANIBAD
1112,Balle Balle Chow Chow
1113,Schezwan Chef
1114,Samosa Partea
1115,LeanCrust Pizza - ThinCrust Experts
1116,Step-In
1117,Churro Mania
1118,REVELRY CAKE & DECORATION HOUSE
1119,Hotel Afghan Shamal
1120,Biryani Bowl
1121,Chitale Bandhu Mithaiwale
1122,Nawabs Biryani & Kababs
1123,Beto's
1124,CHEF'S NATION
1125,Dum Biryani
1126,PESHAVARI TADKA
1127,Biryani King
1128,Chocolate biclate
1129,Hashtag Hunger
1130,Henny's Gourmet
1131,Reddy's Family Restaurant
1132,Burger King
1133,Oven Story Pizza
1134,Kabab Corner
1135,Tandoor Point
1136,Behrouz Biryani
1137,ZAZA 22 Spice Biryani
1138,McDonald's Gourmet Burger Collection
1139,Noble Bake Food
1140,La Kheer Deli
1141,S & B the cake factory
1142,Urban Sandwich Co
1143,Moonlight Rolls & Momos
1144,tasty pizza house
1145,Belenize cake and Desserts
1146,Must Momos & Rolls
1147,Sitara Hotel
1148,Zatka misal
1149,Venkys Xprs Bakulnivas
1150,Biryani Master
1151,99 Dosa the taste  of Hyderabad
1152,Roll VS Roll
1153,Sugran Swayampakghar
1154,The Black Wok Chinese
1155,SALAD BAR
1156,Deewan-E-Biryani - Kothrud
1157,Fish O Fish
1158,Craving kichan
1159,Falooda Junction
1160,LA DESI KHANA
1161,Barometer
1162,Manisha Bhel Panipuri Snacks Centre
1163,Cafe Tom And Jerry
1164,BALAJI AS SNACKS CENTER
1165,Purohit Snacks & Misal House
1166,Yash pavbhaji and paratha house
1167,420 Cafe
1168,Jagdamb Mess and Chapati Center
1169,Masala Maar Ke
1170,Spice N Nice
1171,Shalimar Paratha & Fast Food Center
1172,Grand Royal Biryani
1173,The great Delhi Darbar
1174,The Sugar Free Keto Kafe - By Artinci
1175,The Dragon Fire
1176,MR PINGS CHINESE
1177,Pizza Burger Company
1178,London Bubble Co.
1179,Miana's Croissanterie
1180,Burger Mines
1181,Starbucks Coffee
1182,Potoba
1183,The Biryani Experiment
1184,AS NONVEG
1185,MOMO and Co.
1186,Misal - Mulshi Pattern Misal
1187,"Karlos Pasta, pizza & grills."
1188,PK's PUB-LIC CAFE
1189,Jacks kitchen
1190,begum falooda
1191,Shraddha Biryani House
1192,Pruthvi Vegetarianism
1193,crazy cheezy burger
1194,Cake N Balloons
1195,The Feelia Cafe
1196,cafe pizza n burger
1197,FOODIE NATOR
1198,The jail cafe
1199,domi'o pizza
1200,CAFE HOUSE and ICE CREAM
1201,7th Heaven Cake Shop
1202,The burger wings
1203,Let's Order Chinese
1204,The Nacho Ranch
1205,Prasukh
1206,kalpataru foods
1207,khandeshi tadka
1208,Abhishek chinese
1209,Shangri-La
1210,Bhujbal Bandhu Hotel Apulki - Karve Nagar 
1211,Best Belgian waffle
1212,VIGO CHINESE CUISINE
1213,Global Punjab
1214,Cafe Chow Meow
1215,Centaur Food Services
1216,Cheesiano Pizza
1217,The Oyster
1218,Joshis Kitchen
1219,Punjab Canteen
1220,Food Junction
1221,Cake Paradise
1222,Trippy MoMo
1223,Golden Dragon Chinese & Momo
1224,Moonlight Kitchen
1225,Shree datta kitchen
1226,RV's Dum Biryani
1227,Breakfastic
1228,MATOSHRI BHEL
1229,Ganesh bhel and Farsan
1230,Zaika Kathi Roll
1231,The Coffee Club
1232,Billion Burger
1233,The Royal Dakkhan
1234,Hotel Shree Ganesh Krupa
1235,Wow Chinese
1236,Venky's Xprs (Kothrud)
1237,POTBHAR BIRYANI HOUSE
1238,Eatsome
1239,Biryani Story
1240,Abhishek Veg Restaurant
1241,Moraya Restro
1242,Bhalekar's Matsyagandha
1243,Gypsy Caterers
1244,Abhishek Non Veg Restaurant
1245,Sinhgad Chaupati
1246,GAREEB NAWAJ DAM BIRYANI HOUSE
1247,KEKIZ THE CAKE SHOP
1248,Rice Bowl
1249,Bhadait Misal
1250,BADSHAHI BIRYANI
1251,Laxmi Narayan
1252,Indore Foods
1253,RETOX
1254,Wholesome Meals
1255,SAI SANDWICH
1256,Jose & Isabella's Italian Pizza
1257,New Shegaon Kachori Centre
1258,CakeZone
1259,Rajmandir Ice Cream
1260,Aj food hub
1261,Rolls Mania
1262,The Golden Samosa
1263,Jeevan Tea Center
1264,New Poona Bakery And Cafe
1265,DARBARI CHINESE
1266,Virundavan Kitchen
1267,Sadguru Kitchen
1268,BREATATO . CO
1269,Fish Curry Rice
1270,Manisha Bhel And Panipuri
1271,Malabar
1272,Marwadi Jalebi Junction
1273,Snackbar Express
1274,Shri Chaturshringi mata Snacks center
1275,Cafe Ocean 11
1276,Pizza Club
1277,Parth Veg Nonveg
1278,Neo's Chinese
1279,Pimlico Kothrud
1280,Panchkrishna Restaurant
1281,SHIVAR HOTEL
1282,SHIVTIRTH VADAPAV
1283,Awesome Burger Kitchen
1284,Le Petit Amour Patisserie & Bistro
1285,Rambo's Biryani House
1286,Momo Monk
1287,Loafmaster
1288,UMIYA KUTCHI DABELI
1289,Mithas
1290,Janeman Rolls
1291,BOX.72
1292,PM Chinese
1293,SHIDDAT BIRYANI
1294,Chickan Wadapav
1295,Shree Maha Durgeshwari
1296,Kokan Fresh Fish
1297,Paramhans Pure Veg
1298,Mayur Pavbhaji & Juice Bar
1299,Sagars Kebab & Biryani Food Truck
1300,Zillionth Bistro
1301,Artinci - Indulge Guilt Free!
1302,New Aswad Gomantak
1303,Katakirrr Misal
1304,Haldirams Chaat
1305,Harry Puttar Da Dhaba
1306,Khandesh Express 
1307,Code The Speakeasy Bar
1308,King's Chinese & Restaurant
1309,McDonald's
1310,The Burger Project
1311,Mobee's Corner
1312,Natural Ice Cream
1313,Mealful Rolls - Meals in a Roll
1314,Shree Chinese
1315,Hotel Al-Zaika
1316,Yash Wadapav
1317,Golden fried chicken
1318,MAINLAND CHINESE
1319,Shaukeen - The Complete Paan Shop
1320,The Doner Company
1321,BIGGIES BURGER
1322,Smokin Joes
1323,the hunger box
1324,Khatri Bandhu Pot Ice Cream And Mastani
1325,patil tandoor & kebab
1326,Swami juice &ice cream \\n
1327,Kalinga Veg Gourmet Kitchen
1328,ISMAIL BAKERY AND CAKE SHOP
1329,Hyderabadi Biryani House
1330,Nagpur Saoji
1331,Khandeshi Zatka
1332,susha's cafe
1333,Sawant hot chips
1334,Good Fettle Healthy Ice Cream
1335,Cafe Madeline
1336,Burger It Up
1337,Su Ruchi Sweets
1338,Dominossa Pizza - Local Pizza Shop
1339,Bun and bowl
1340,Madurai Idly Shop
1341,Assal Amravati Mh27
1342,Roll Sholl
1343,Malgudi Tiffin
1344,Henry's fried chicken
1345,Havmor Havfunn
1346,Big city waffle
1347,OUT OF THE OVEN
1348,Jay Ganesh Misal Pav
1349,CUK NUK 24
1350,Reddy's Fast Food
1351,Baba Biryani House
1352,Cake N Flake By Bakester
1353,Kwality Walls Frozen Dessert & Ice Cream Shop
1354,Rajeshahi
1355,Cafe Chokolade
1356,Sugardough
1357,Shrivastav Rasoi
1358,Maitri Katta
1359,Red Dragon Chinese
1360,DA TRATTORIA
1361,Mankar Dosa
1362,CRAZY CHEESY
1363,Domino's Pizza
1364,Sai Chinese
1365,Hunger Window
1366,NOSH
1367,DineWise
1368,cafe durga
1369,Red chinese
1370,PUNERI DABEWALE AND CATERERS
1371,The Crunch Hive
1372,Subway
1373,Samarth Pav Bhaji Juice Centre
1374,YIN YANG BISTRO
1375,FRIED CHICKEN DESTINATION
1376,Sukhi De Parathe
1377,Pizza Hut Express
1378,Aalien maggi
1379,The Biryani Life
1380,"KAIRA'S PIZZA,SANDWICH&BURGER"
1381,The Basil Deck
1382,Kouzina Kafe - The Food Court
1383,Heaven Pizza And Cafe
1384,Dum A Dum Biryani
1385,Bombay pav bhaji
1386,Roll's Express
1387,Mummyjis
1388,MH 26 Food Junction
1389,Chow Chow Chinese
1390,Shalimar Biryanis
1391,Raj Restaurant
1392,Cafe 26
1393,Shri Swami Samartha Pure Veg
1394,CAKE AND CAFE
1395,NIC Natural Ice Creams
1396,Cafe Tea Talkss
1397,Kambhakarnna
1398,Khatta Meetha
1399,Cafe Coffee Day
1400,SK's Biryani House
1401,ZAIKA SNACK CENTER
1402,The Good Bowl
1403,Pizza Hut
1404,Copper Chocs
1405,Hotel Durga
1406,The Baking Genie
1407,Oasis The Royal Biryani
1408,Cafe Bon Appetit
1409,Rocky`s
1410,Cakes n balloons
1411,Hrishikesh Seafoods
1412,Theobroma
1413,Biryani Express 100% Home Made 
1414,Frozen Bottle
1415,Paratha Experiment
1416,Lockdown Kitchen
1417,Gavkari
1418,Mumma's Kitchen(Karve Nagar)
1419,Mumbai China Hut
1420,Kadak Misal
1421,Cross heart
1422,Punjabi Kitchen
1423,Yollops
1424,The Indian Kitchen
1425,Hotel Sai Shri
1426,Sairat Biryani
1427,Yedeshwari hotel
1428,Biryani Blast
1429,Kitch
1430,Maskawala & Co.
1431,Biryanikar
1432,SINHGAD CAFE
1433,Makkhan Pavbhaji
1434,SRI KRISHNA AANAND BHAVAN
1435,Cheesiano Pizza(Law College)
1436,Samosa Singh
1437,FOODZEN
1438,PAPACREAM
1439,Santosh Bhel And Panipuri
1440,Platinum King Chinese
1441,La Sicilia Bistro & Patisserie
1442,South Kitchen
1443,Hot's chaines & momos
1444,kulfi magic
1445,Biryani King
1446,CAFE EGGSTREAM
1447,Hotel Ranwara 
1448,Hotel Mejwani
1449,Pathan Laziz Biryani House
1450,The Belgian Waffle Co.
1451,Chinese Factory Kitchen
1452,China Hut
1453,Hyderabadi Biryani Express
1454,Thirsty cafe
1455,Rising cafe
1456,Wingman & \rCo
1457,SAHARA CHINESE
1458,Mankar Dosa Centre
1459,Bombay Biryani House
1460,Mahabaleshwar berry bash
1461,The Dessert Heaven
1462,Shardul's Kitchen
1463,SK Meal Home
1464,Feast India Co.
1465,Cafe Arabia
1466,Cafe Happingo
1467,Palavi
1468,NH1 Bowls - Highway To North
1469,Swami The Veg Heritage
1470,Itminaan Biryani - Dum Pukht
1471,SAOJI TANDOOR EXPRESS
1472,1441 Pizzeria
1473,GOKHALES KITCHEN
1474,Cafe Rendezvous
1475,Shree Ganesh Bhel and Farsan House
1476,SANDWICH
1477,McCafe by McDonald's
1478,Behrouz Biryani
1479,Cafe Peter
1480,Faasos
1481,Rolling Joint
1482,New Tandoor Point
1483,RK Biryani House
1484,CHANDRALOK RESTAURANT
1485,TANDOOR & KEBAB CO.
1486,Lovely Chinese Fast Food
1487,De Bakers Lounge
1488,Swara Juice Bar
1489,Siily Chilly
1490,Sandwich Katta
1491,Aditri Veg Restaurant
1492,DA'NONNA PIZZERIA
1493,The Tipsy Duckling
1494,Ganesh Bhel-Kothrud
1495,STARBON HOTELS
1496,ABIS BISTRO CAFE
1497,Mandarin Oak- The Heavenly Chinese
1498,More Dosa
1499,AROMA BIRYANI AND KEBABS
1500,LeanCrust Pizza - ThinCrust Experts
1501,Burger And More
1502,Modern Khichdi
1503,Jayesh A1 Sandwiches
1504,Kinara's Maratha Darbar
1505,JJ's Cafe
1506,Meal in box
1507,Chaat cafe
1508,BIGGY BITE
1509,Absolute China
1510,Kharwas & More
1511,Vadilal Ice Cream
1512,Idli Express
1513,Prasanna Snacks
1514,SAHYADRI CHINESE
1515,Dilli di Rasoi
1516,Green Soul Kitchens
1517,SLAY Coffee
1518,Garden Vada Pav Centre
1519,LunchBox
1520,Chatak Matak Food
1521,Moon Light Real Chinese Tandoor Point
1522,Sweet Truth - Cake and Desserts
1523,Cafe 9 s
1524,Golden Murg Biryani
1525,Oven Story Pizza
1526,Firangi Bake
1527,Grameen Kulfi
1528,SUKHKARTA PURE VEG DINING HALL
1529,KOTHRUD  BOWL  COMPANY
1530,MRIGAYA - Pukht Biryani And Mandi
1531,The Momo Xpress
1532,The bun and bowl
1533,Crazy Momos
1534,Royal Chinese Kothrud
1535,Baba's Veg Non Veg
1536,The Ganache
1537,Late Night Chinese
1538,Golden Chillyz
1539,Momo Express
1540,Yolkshire
1541,Our Moms Kitchen
1542,Rudra Veg
1543,New Kalyan Bhel
1544,Meal Bowl
1545,Chinese King
1546,Chinese Express
1547,Caramella's
1548,Chinese Experiment
1549,Patil Kitchen
1550,ROLLS DUNIYA
1551,Mamata dining hall
1552,Platinum Dragon Chinese
1553,Swa Varhadi Misal
1554,BETWEEN THE BUNS
1555,Indian Chinese
1556,Konkan Express
1557,Samudra-Seafood Special
1558,The Burger
1559,A1 OLYMPIA
1560,italian street
1561,night hungers hut
1562,Food Ka Mood
1563,Sapkal Foods
1564,Shakes +
1565,Hilton Chinese House
1566,The Waffle Jar
1567,Punekaranchi Misal
1568,The Chocolate Room
1569,Hotel Surya Biryani
1570,Burger King
1571,PK Biryani House (Kothrud)
1572,Multi Spice
1573,NASHTA BISHTA
1574,BIRYANI BADSHAH
1575,chefs pizza burger
1576,Anand Veg
1577,BALAJI BHEL AND FARSAN
1578,The Big Brown Bag
1579,Nation 52
1580,BOX8 - Desi Meals
1581,Cafe Eastwood
1582,Tara'sKitchenbranch2
1583,Shreeman
1584,Reshma Bhurji Center
1585,Sagy's chaapwala
1586,Relax Pure Veg
1587,Khichdi Experiment
1588,MOZZA
1589,Kuai Kitchen
1590,Residency Club
1591,BONBONNIERE PATISSEIRE AND BAKERY
1592,FOODLAND RESTAURANT
1593,Asia Kitchen by Mainland China
1594,German Bakery
1595,Mad House Grill
1596,Toscano
1597,cafe Madeline
1598,Panchvati @ Panchratna
1599,PUNE PLATERY
1600,Ahling Chinese Corner
1601,Nagpur Saoji Black Curry
1602,CAKE & MORE
1603,CHINGARI - Sheraton Grand
1604,VHC
1605,Sheraton - Marriott on Wheels
1606,Time After Time - The Central Park Hotel
1607,House Of Mandarin
1608,Savya Rasa
1609,Grandmama's Cafe
1610,Barbeque Nation
1611,Baraza Bars & Bites
1612,The Daily All Day Pune
1613,Tutto Bene
1614,Trattoria by Toscano
1615,Dhaba shaba veg bistro
1616,Boteco - Restaurante Brasileiro
1617,HOTEL AVANI BIRYANI
1618,Senoritas Mexican kitchen by Little Italy
1619,Prem's
1620,Largo Pizzeria
1621,Starbucks Coffee
1622,CONRAD PUNE
1623,Sante Spa Cuisine
1624,Masala Punjab
1625,Domino's Pizza
1626,Butter Brews - Koregaon Park
1627,Beetroot Bistro
1628,ZA'ATAR
1629,Brasserie Cinq
1630,Effingut
1631,Kwality Family Resto Bar(RAJA BHADHUR MILLS)
1632,Biryani Blast
1633,UNWIND
1634,Little Italy
1635,Mainland China
1636,Yonies pizza
1637,Theobroma
1638,Cafe@6
1639,Zen Cafe
1640,Malaka Spice
1641,YummyQ Italian Sizzlers
1642,The Green Court Pure Veg
1643,Chatpate Lovers
1644,ZAZA 22 Spice Biryani
1645,AK's Kitchen
1646,Soya Moya Chaap
1647,Kulcha Khao Ji
1648,Dakshinayam
1649,Hotel Chaitanya
1650,Kwality Walls Frozen Dessert and Ice Cream Shop
1651,Balwe's
1652,The Belgian Waffle Co.
1653,Bina s Bengali Kitchen
1654,Jaha's Biryani
1655,Mallavali Flavors
1656,KNIGHT RIDERS
1657,Cream bell
1658,The China Wok
1659,Cream Stone
1660,Daawat E Punjab
1661,Dollys Kitchen and Caterers
1662,Mom Noodles And Fast food
1663,CHINESE DRAGON
1664,Manbhavan Premium Thali Restaurant
1665,JACK MOMOS
1666,Punjabi Darbaar
1667,Sanskruti Hotel
1668,Burger King
1669,Momo Hut
1670,KFC
1671,Akshay Hotel
1672,McDonald's
1673,Biryani Art
1674,Zingaat Misal
1675,Jay Malhar Bhojanalay
1676,Sweet Truth - Cake and Desserts
1677,NIC Natural Ice Creams
1678,Ku kooch ku Uday Bhag
1679,Saffron Exotic Family Restaurant
1680,Hotel Spice Route
1681,Homely Food
1682,Al Sheeris Asli Heydrabadi biryani
1683,Biryani Wala
1684,Hot Darjeeling Momo
1685,KALYAN CHINESE CORNER
1686,Domino's Pizza
1687,ANNA DOSA POINT
1688,OM Chinese Center
1689,Delhi di kitchen
1690,Sham's Kitchen
1691,Kulcha From Amritsar
1692,kanchan Pure Veg
1693,Charmi family restaurant
1694,HOTEL RAJGAD
1695,Indian Masala House
1696,Mr. Manchurian
1697,Kerala Cochin Cafe
1698,Theobroma
1699,Flame On
1700,CRAVINGS CO. By THE CULT
1701,Cold Stone Creamery
1702,Bawarchi - Tadka Taste Ka!
1703,Satguru's Punjabi Rasoi
1704,Swad punjab da
1705,Sravs Kitchen
1706,Dhhyaas's Hyderabad Biryani Paradise
1707,Global Punjab
1708,Pizza Bytes
1709,SINDHI TADKA PUNE
1710,Grand Darbar
1711,Urban Dhaba
1712,Magnora
1713,Copper Chocs
1714,Punjabi Darbar Rasoi King
1715,Biryani Studio
1716,Mandarin Oak- The Heavenly Chinese
1717,TERITREE RESTAURANT
1718,Itminaan Biryani - Dum Pukht
1719,Haka
1720,The Chocolate Room
1721,CAKESTORY DESSERTS
1722,Hangout Cakes & More
1723,The Dessert Heaven
1724,Hotel Shivraj
1725,Aryan's Resto-N-Bar
1726,Natural Ice Cream
1727,TGI Fridays
1728,The Momo Panda
1729,Deccan Harvest
1730,Wah Marathi
1731,Gautam Kumar
1732,Punjabi Grill
1733,Barbeque Nation
1734,HUDAKITCHEN
1735,Reddy Hotel Tupe Corner
1736,Starbucks Coffee
1737,Prawnstastic
1738,Grameen Kulfi
1739,LeanCrust Pizza - ThinCrust Experts
1740,Kwality Family Rest O Bar
1741,Chef's Crazy Wok
1742,Swagat Family Restaurant and Bar
1743,the waffle jar
1744,JAGDAMBA RESTAURANT
1745,chakkna com
1746,Keto Nation
1747,Kimling XPS
1748,AFC
1749,om sai juice bar
1750,Pizza Hut
1751,Hotel Balwe's veg non
1752,ShakeZone
1753,Meals101
1754,The Crazy Cheesy
1755,Fun Spice
1756,THE KEBAB EXCHANGE
1757,Thali Central
1758,SAWJI BIRYANI HOUSE
1759,golden gate restaurant and bar
1760,Aroma's kitchen
1761,Hotel Suvarna
1762,Sidheshwar Foods
1763,Hotel  Avishkar
1764,Swad-E-Amritsar
1765,saishiv restaurant
1766,Oven Story Pizza
1767,PSP Wadewaale
1768,Foodiegram
1769,Hotel Aaisaheb Mutton Khanawal
1770,Behrouz Biryani
1771,EXPRESS BY AB'S
1772,Jagirdar Biryani
1773,ONLY SAMBAR
1774,The Good Bowl
1775,NIC Natural Ice Creams
1776,Behrouz Biryani
1777,Oven Story Pizza
1778,abhiruchi Gokul Restaurant
1779,Sweet Truth
1780,Hangout Family Restaurant
1781,Sumo's Kitchen
1782,CHINESE GULLY
1783,Chandni Garden Resto & Bar
1784,Omkar Restaurant
1785,VEERA DA DHABA
1786,RAJESHAHI THAAT
1787,Shinde Mama Biryani House
1788,Gourmet Ice Cream Cakes by Baskin Robbins
1789,Homely Touch
1790,Hotel Bholenath and Chinese Center
1791,Jalsa Biryani
1792,Hotel rooftop family restaurant
1793,The Biryani Life
1794,Domino's Pizza
1795,Global Punjab
1796,INDIAN SPICES
1797,McDonald's Gourmet Burger Collection
1798,PK Dum Biryani House
1799,Absolute Punjab
1800,K2H Meals
1801,Hotel Malhar
1802,Royal food
1803,BACHEETO
1804,YEWALE BIRYANI
1805,MEAL BOX
1806,Aappacha Shetmala Mutton Bhakri
1807,GANDHARV
1808,The Good Bowl
1809,Fly High
1810,Hotel Al-Zaika
1811,SLICES
1812,Biryani Bowl
1813,Paratha Envy
1814,Vedant Pure Veg
1815,Vyankis Eating Co.
1816,Sinhgad Fountain Veg - Nonveg
1817,Pizza Hut
1818,GARVAA BIRYANI
1819,SHIVRUDRA VADAPAAV
1820,RK'S Family Restro & Bar
1821,Purva s Cakes
1822,HOTEL SAI DARBAR
1823,HOTEL NILKAMAL
1824,WS Bakers
1825,AIRO HOTEL
1826,Pathan laziz biryani
1827,Ganga pure veg
1828,CAKE FACTORY
1829,Shivar Non Veg
1830,Relax Family Garden Resto Bar
1831,Green Field
1832,Prit's Kitchen
1833,RASSA MANDAL RESTAURANT
1834,Pailwaan Biryanis
1835,Mandarin Oak- The Heavenly Chinese
1836,THE LATE NIGHT BIRYANI
1837,LeanCrust Pizza - ThinCrust Experts
1838,Kokan Ratna Sea Food Special Hotel
1839,Faasos
1840,Hotel Lazeez
1841,Shreeji Pure Veg (Narhe)
1842,Grameen Kulfi
1843,NIC Natural Ice Creams
1844,Brahma Regency
1845,Kwality Walls Frozen Dessert and Ice Cream Shop
1846,Grameen Kulfi
1847,Swara's Cake Mania
1848,Tikhat Bikhat mini dabha
1849,Dakkhan Spice
1850,Hotel Kaveri
1851,CAFE FUSION9
1852,Behrouz Biryani
1853,Oven Story Pizza
1854,Andhra tiffins and biryani
1855,Itminaan Biryani - Dum Pukht
1856,Shruti resto and Bar(Ratnalok)
1857,BARBQ
1858,Homely Meals @69
1859,LeanCrust Pizza - ThinCrust Experts
1860,NH1 Bowls - Highway To North
1861,Saykar snacks And S.Kumar Wadevale
1862,Vishnu Caterers & Kerala Biriyani House
1863,Sangeeta Lunch Home
1864,Sandy's Khasiyat
1865,AB s-Absolute Barbecues
1866,Hotel Rajvardhan
1867,KEBAB BISTRO
1868,KGN Xprs (Pradhikaran)
1869,Pizza Hut
1870,Panhalgad
1871,Shahi Angare
1872,Shri Ashapuri Dining Hall
1873,NEW SHERE PUNJAB
1874,Khandeshi Katta
1875,Spice
1876,Christi Food Point
1877,Speeeeeza
1878,Domino's Pizza
1879,daCALORIES
1880,SLAY Coffee
1881,Biryani Express
1882,TEN 11 RESTO
1883,"Bird valley, Thermax chowk"
1884,Roll Point
1885,Hotel Silver Seven
1886,Dainostic Chinese Foods
1887,kitchen family restaurant
1888,Biryani House
1889,RK's Hydrabadi Biryani
1890,Swad Kitchen
1891,Mitwaa family Restaurant
1892,CREAMEO FOODIES
1893,REDDYS BIRAYANI DARBAR
1894,Arambha Hotel
1895,Healthy Waves
1896,Square pizza restaurant
1897,Gundam Katta
1898,SPD TANDOOR AND KEBABS
1899,Hotel Ashoka Regency
1900,ABHIS KITCHEN
1901,Angan Family Restaurant
1902,GHARGUTI MISAL CENTER
1903,PUNJAB DE NAAN AND PARATHE
1904,CHRISTY FOOD POINT
1905,SIZZLING CHINA
1906,Kanhaiya Veg Nonveg Restaurant
1907,HOTEL OM SAI RAM
1908,Hotel Shivneri
1909,PIZZA STOP
1910,Vedas
1911,Hotel New Pune Bar and Restaurant
1912,Radha Veg Non Veg
1913,Food Bengal Akurdi
1914,Mahadev Pure Veg Hotel
1915,AAMHI POHEKAR
1916,Barsana Family Restaurant
1917,Dakkhani Misal
1918,Kannu Ki Chai
1919,Fish N Chips
1920,Momo Lo Momo
1921,Chitale Bandhu Mithaiwale
1922,Delicious Biryani
1923,Baba Ramdev Dhaba
1924,Golden Rock
1925,Foodroot
1926,Shree Baba Ramdev Thal
1927,"De,Kriollo bakers"
1928,Deli Belly
1929,Hotel Pune Gate
1930,CHHUPE RUSTAM
1931,Hotel Shipra Restaurant & Bar
1932,Shiva Snacks Center
1933,Chef's Kitchen
1934,Wrappy Trappy
1935,Wow! Momo
1936,Mad Over Donuts
1937,JAY GANESH JUICE BAR AND ICECREAM PARLOUR
1938,MGS PIZZBURG
1939,Unique Biryani
1940,Mitran Da junction
1941,Kamini
1942,The pizza junction
1943,Pyar E Shawarma
1944,Dosti Pizza And Cafe
1945,McDonald's Gourmet Burger Collection
1946,Jumbo Belly Kitchen
1947,Nayab
1948,GANESH BHEL
1949,Shalimar Hotel
1950,PANINO CAFE
1951,Rohit Wadewale
1952,Swadisht Idli & Pavbhaji
1953,Manna Dosa Magic
1954,Sk's Biryani
1955,Schezwan Takda
1956,Aditya House
1957,Hotel Paradise
1958,SHRI MORYA MESS
1959,machli
1960,Hotel New Roshan
1961,Metro Nine Restro Bar
1962,Rasrang Veg
1963,Riwaayat
1964,CAFFIX ROLLS
1965,THE MOMO CO.
1966,RICH  O  CREAM
1967,Hotel Shravi
1968,Hotel Jai Balaji king of dosa
1969,THE BIG WOK
1970,THE DARK HORSE CAFE
1971,Hotel Samarth
1972,Hotel Jeevan
1973,Tumchya Sathi
1974,The Breakfast Story
1975,Biryani Bowl
1976,Panchshil cloud kitchen
1977,Non Veg Tadka
1978,Annapurna
1979,Potobachi Jatra
1980,Ruchita Mess/Hotel
1981,Golden Curry (Grand Emrald)
1982,Hot and Spicy Momos
1983,Tarkarli Mejwani
1984,Swami Kitchen
1985,Bay Leaf Bistro Hospitality PVT. LTD.
1986,Gilbert Brothers Kitchen
1987,Gharcha Swad
1988,GANGOTRI
1989,The Szechuan Shack
1990,NIC Natural Ice Creams
1991,Bombay Sandwich & Grill
1992,HIGHERS CAFE
1993,Hello Home (Veg)
1994,Kwality Walls Frozen Dessert and Ice Cream Shop
1995,KHATTA MEETHAA
1996,Grill Corner
1997,Abbas Cateters
1998,Shegaon Kachori
1999,Swadesh
2000,Hotel Sai Sagar Pure Veg
2001,Little Eats
2002,Tiranga (Pimpri)
2003,Taco Bell
2004,Home made snacks &Tiffin
2005,THE TASTY WOK
2006,Kings Restaurant And Chinese Food
2007,Street Foods By Punjab Grill
2008,Rajyog Wadewale
2009,Punjabi Chillies
2010,CHINA WALE
2011,Richards Chinese Corner
2012,Kalpvii Barbeque Operations
2013,Delight Veg - Non Veg
2014,McDonald's
2015,Hayat Biryani Factory
2016,INOX
2017,Feast Cafe and Lounge Spree Hotel
2018,Sant krupa Tea And Snaks Centre
2019,Izletes Pizza-Pimpri
2020,WONDER AROMA KITCHEN
2021,Sai Restaurant
2022,Gazania Foods
2023,Kavi Misal
2024,MUMBAI TADKA
2025,Cheesiano Pizza
2026,The Village
2027,Sagar Restaurant
2028,Domino's Pizza
2029,Dakshin
2030,Malashree pure veg
2031,Hotel Krushnai
2032,Rosso Bianco
2033,Punjaabi Zaika
2034,Meals Mania
2035,EAGLE BOYS PIZZERIA AND CAFE
2036,Cakesmith By Prabjot
2037,Barbeque Nation
2038,Little Italy
2039,Lakshminarayan Bhojanalai
2040,Lakshminarayan Kitchen
2041,MUMBAI ZAIKA
2042,Foodies Loves
2043,THE RDS SHAWARMA WITH CHINESE
2044,Varun Garden
2045,Maharaja Hotel
2046,Biryani Blast
2047,Salt Mango Tree
2048,EGG WAY
2049,Pratik Biryani House
2050,The Davangeri Benne (Loni) Dosa Hotel
