,RestaurantName
0,Pimlico Kothrud
1,Henry's fried chicken
2,Cake N Flake By Bakester
3,The Basil Deck
4,Cakes n balloons
5,Theobroma
6,Swami The Veg Heritage
7,S & B the cake factory
8,Prasukh
9,Gypsy Caterers
